case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,comment,stacktrace,priority,severity,automation,type,tags,step_comments,case_parameter
15,"Проверка приветствия при запуске скрипта","Прохождение скрипта big_city",1,Ekaterina,22791,Passed,"2023-06-14 16:46:33","1. Проверить приветствие
","1. 
","1. Приветствие отображается в соответствии с требованиями. Задан вопрос на который требуется получить ответ. Обозначается ограничение по времени.
","1. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. ",
1,"Ввод значения равного установленному","Прохождение скрипта big_city",1,Ekaterina,34943,Passed,"2023-06-14 16:47:10","1. Ввести значение равное установленному
","1. 16
","1. Выход из скрипта с сообщением, что ответ верный
","1. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. ",
11,"Ввод значения меньше установленного","Прохождение скрипта big_city",1,Ekaterina,27354,Passed,"2023-06-14 16:47:39","1. Ввести значение менее установленного
2. ввести значение менее установленного
3. ввести значение менее установленного
","1. 0
2. 1
3. 15
","1. сообщение с подсказкой о необходимости ввода большего значения, возможность ввести значение повторно
2. сообщение с подсказкой о необходимости ввода большего значения, возможность ввести значение повторно
3. сообщение с подсказкой о необходимости ввода большего значения, возможность ввести значение повторно
","1. Untested
2. Untested
3. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. 
3. ",
14,"Ввод значения больше установленного","Прохождение скрипта big_city",1,Ekaterina,43346,Passed,"2023-06-14 16:48:23","1. Ввести значение больше установленного
2. Ввести значение больше установленного
3. Ввести значение равное максмальному установленному
4. Ввести значение больше максимального установленного
5. Ввести большое значение, более 4 символов
","1. 17
2. 1117
3. 1118
4. 1119
5. 999999999999999999999999
","1. сообщение с подсказкой о необходимости ввода меньшего значения, возможность ввести значение повторно
2. сообщение с подсказкой о необходимости ввода меньшего значения, возможность ввести значение повторно
3. сообщение с подсказкой о необходимости ввода меньшего значения, возможность ввести значение повторно
4. сообщение с подсказкой о необходимости ввода значения меньше максимально установленного, возможность ввести значение повторно
5. сообщение с подсказкой о необходимости ввода значения меньше максимально установленного, возможность ввести значение повторно
","1. Untested
2. Untested
3. Untested
4. Untested
5. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
18,"Negative Ввод значения, начинающегося с 0","Прохождение скрипта big_city",1,Ekaterina,17554,Passed,"2023-06-14 16:48:42","1. Ввести значение, начинающееся с 0 и содержащее числа 8 и 9
2. Ввести значение, начинающееся с 0 и содержащее числа 8 и 9
","1. 0909
2. 0808
","1. сообщение с подсказкой о необходимости ввода меньшего значения, возможность ввести значение повторно
2. сообщение с подсказкой о необходимости ввода меньшего значения, возможность ввести значение повторно
","1. Untested
2. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. ",
2,"Negative Прохождение скрипта без ввода данных","Прохождение скрипта big_city",1,Ekaterina,31672,Passed,"2023-06-14 16:49:14","1. Не вводить данные в течение 20 секунд
","1. 
","1. Через 20 секунд выход из скрипта с сообщением, что данные не введены
","1. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. ",
17,"Negative Отказ от ввода значения при повторных запросах на ввод","Прохождение скрипта big_city",1,Ekaterina,32236,Passed,"2023-06-14 16:49:55","1. Ввести значение больше установленного
2. Не вводить значение в течение 10 секунд
","1. 17
2. 
","1. сообщение с подсказкой о необходимости ввода меньшего значения, возможность ввести значение повторно
2. Через 10 секунд выход из скрипта с сообщением, что данные не введены
","1. Untested
2. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. ",
7,"Ввод с пробелами","Прохождение скрипта big_city",1,Ekaterina,29650,Passed,"2023-06-14 16:50:27","1. Ввод значения равного установленному с пробелом в начале
2. Ввод значения равного установленному с пробелом в конце
3. Ввод значения равного установленному с пробелом в начале и в конце
","1. 16
2. 16
3. 16
","1. Выход из скрипта с сообщением, что ответ верный
2. Выход из скрипта с сообщением, что ответ верный
3. Выход из скрипта с сообщением, что ответ верный
","1. Untested
2. Untested
3. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. 
3. ",
3,"Negative Ввод не числового значения","Прохождение скрипта big_city",1,Ekaterina,75901,Passed,"2023-06-14 16:51:44","1. Ввод спецсимволов, тегов
2. Ввод символов больше ограничения
3. Ввод латинских символов
4. Ввод латинских символов больше ограничения
5. Ввод символов кириллицы
6. Ввод символов кириллицы больше ограничения
7. Ввод числа, спецсимвола и буквы
","1. 
2. более 4 символов
3. 
4. более 4 символов
5. 
6. более 4 символов
7. 
","1. сообщение о необходимости ввода целого числа больше 0
2. сообщение о необходимости ввода целого числа больше 0
3. сообщение о необходимости ввода целого числа больше 0
4. сообщение о необходимости ввода целого числа больше 0
5. сообщение о необходимости ввода целого числа больше 0
6. сообщение о необходимости ввода целого числа больше 0
7. сообщение о необходимости ввода целого числа больше 0
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
7. Passed
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. ",
16,"Negative Ввод не целого числа","Прохождение скрипта big_city",1,Ekaterina,18933,Passed,"2023-06-14 16:52:04","1. ввод дробного числа с .
2. ввод дробного числа с ,
","1. 1.2
2. 1,2
","1. сообщение о необходимости ввода целого числа больше 0
2. сообщение о необходимости ввода целого числа больше 0
","1. Untested
2. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. ",
8,"Ввод значений из буфера обмена","Прохождение скрипта big_city",1,Ekaterina,47671,Passed,"2023-06-14 16:52:53","1. ввод значения равного установленному из буфера обмена
2. ввод значения равного установленному из буфера обмена с пробелами в начале и конце
","1. 16
2. 16
","1. Выход из скрипта с сообщением, что ответ верный
2. Выход из скрипта с сообщением, что ответ верный
","1. Untested
2. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. ",
9,"Negative Ввод значений из буфера обмена","Прохождение скрипта big_city",1,Ekaterina,74011,Passed,"2023-06-14 16:54:08","1. ввод спецсимволов, тегов из буфера обмена
","1. 
","1. сообщение о необходимости ввода целого числа больше 0
","1. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. ",
13,"Negative Ввод отрицательных значений","Прохождение скрипта big_city",1,Ekaterina,24405,Passed,"2023-06-14 16:54:33","1. Ввод значения меньше 0
2. Ввод значения равного установленному со знаком ""-""
3. Ввод большого значения со знаком ""-""
","1. -1
2. -16
3. -9999999999999999
","1. сообщение о необходимости ввода целого числа больше 0
2. сообщение о необходимости ввода целого числа больше 0
3. сообщение о необходимости ввода целого числа больше 0
","1. Untested
2. Untested
3. Untested
",,,"Not set",Normal,"Not automated",Functional,,"1. 
2. 
3. ",
